,ObjectTable,us_node_id,us_node_id_flag,link_suffix,link_suffix_flag,ds_node_id,ds_node_id_flag,link_type,link_type_flag,asset_id,asset_id_flag,sewer_reference,sewer_reference_flag,system_type,system_type_flag,branch_id,branch_id_flag,point_array,is_merged,asset_uid,x0,y0
30,hw_conduit,27-478052,,1,,27-478053,,Cond,,4799,,,,sanitary,,,,"{2295360.8823999017477036,145810.9642988232371863,2295354.9876898215152323,145856.1592808234272525}",,,2295360.8823999017477036,145810.9642988232371863
31,hw_conduit,27-478053,,1,,27-478056,,Cond,,4791,,,,sanitary,,,,"{2295354.9876898215152323,145856.1592808234272525,2295424.5655745416879654,145913.2032104236714076}",,,2295354.9876898215152323,145856.1592808234272525
32,hw_conduit,27-478056,,1,,27-478057,,Cond,,4786,,,,sanitary,,,,"{2295424.5655745416879654,145913.2032104236714076,2295500.6333827818743885,145904.8639433836215176}",,,2295424.5655745416879654,145913.2032104236714076
33,hw_conduit,27-478057,,1,,27-478065,,Cond,,12629,,,,sanitary,,,,"{2295500.6333827818743885,145904.8639433836215176,2295589.9386245422065258,145924.6376605037075933}",,,2295500.6333827818743885,145904.8639433836215176
34,hw_conduit,27-478065,,1,,27-478066,,Cond,,4772,,,,sanitary,,,,"{2295589.9386245422065258,145924.6376605037075933,2295656.7220419025979936,145948.2512175437877886}",,,2295589.9386245422065258,145924.6376605037075933
35,hw_conduit,27-478066,,1,,27-478067,,Cond,,14874,,,,sanitary,,,,"{2295656.7220419025979936,145948.2512175437877886,2295673.5265193427912891,145953.9459483438404277}",,,2295656.7220419025979936,145948.2512175437877886
36,hw_conduit,27-478067,,1,,30-478006,,Cond,,12745,,,,sanitary,,,,"{2295673.5265193427912891,145953.9459483438404277,2295714.4685659832321107,145966.617703543859534}",,,2295673.5265193427912891,145953.9459483438404277
37,hw_conduit,30-470003,,1,,30-470004,,Cond,,12657,,,,sanitary,,,,"{2296244.4721491052769125,143566.5745280142873526,2296342.0230538253672421,143573.5770032143045682}",,,2296244.4721491052769125,143566.5745280142873526
38,hw_conduit,30-470004,,1,,30-470009,,Cond,,12498,,,,sanitary,,,,"{2296342.0230538253672421,143573.5770032143045682,2296443.9090679856017232,143609.7182364944601431}",,,2296342.0230538253672421,143573.5770032143045682
39,hw_conduit,30-470009,,1,,30-470010,,Cond,,6952,,,,sanitary,,,,"{2296443.9090679856017232,143609.7182364944601431,2296540.0622818260453641,143671.5252147346909624}",,,2296443.9090679856017232,143609.7182364944601431
40,hw_conduit,30-470010,,1,,30-470011,,Cond,,6950,,,,sanitary,,,,"{2296540.0622818260453641,143671.5252147346909624,2296604.1710182265378535,143738.6960328949498944}",,,2296540.0622818260453641,143671.5252147346909624
41,hw_conduit,30-470011,,1,,33-470003,,Cond,,6946,,,,sanitary,,,,"{2296604.1710182265378535,143738.6960328949498944,2296648.1718852669000626,143793.7302332151739392}",,,2296604.1710182265378535,143738.6960328949498944
42,hw_conduit,30-474036,,1,,30-474071,,Cond,,12169,,,,sanitary,,,,"{2296506.705091746058315,144991.7020409799879417,2296506.2348767863586545,144980.2957848999358248}",,,2296506.705091746058315,144991.7020409799879417
43,hw_conduit,30-474037,,1,,30-474038,,Cond,,14926,,,,sanitary,,,,"{2296504.3221958260983229,144911.8038111396308523,2296502.0947783859446645,144837.3228831393353175}",,,2296504.3221958260983229,144911.8038111396308523
44,hw_conduit,30-474038,,1,,30-474041,,Cond,,5985,,,,sanitary,,,,"{2296502.0947783859446645,144837.3228831393353175,2296563.0629165461286902,144779.8924366591090802}",,,2296502.0947783859446645,144837.3228831393353175
45,hw_conduit,30-474041,,1,,I33-474000,,Cond,,12465,,,,sanitary,,,,"{2296563.0629165461286902,144779.8924366591090802,2296616.4642118266783655,144765.57570633906289}",,,2296563.0629165461286902,144779.8924366591090802
46,hw_conduit,30-474065,,1,,30-474066,,Cond,,5934,,,,sanitary,,,,"{2296038.1450433442369103,145058.0725457802473102,2296113.1799758244305849,145047.2246223402034957}",,,2296038.1450433442369103,145058.0725457802473102
47,hw_conduit,30-474066,,1,,30-474067,,Cond,,5936,,,,sanitary,,,,"{2296113.1799758244305849,145047.2246223402034957,2296188.4768534246832132,145036.3737118601566181}",,,2296113.1799758244305849,145047.2246223402034957
48,hw_conduit,30-474067,,1,,30-474087,,Cond,,17141,,,,sanitary,,,,"{2296188.4768534246832132,145036.3737118601566181,2296201.5454582246020436,145034.4580591001431458}",,,2296188.4768534246832132,145036.3737118601566181
49,hw_conduit,30-474068,,1,,30-474069,,Cond,,5942,,,,sanitary,,,,"{2296307.1850843853317201,145018.9730608600657433,2296378.8940240256488323,145006.9225947400263976}",,,2296307.1850843853317201,145018.9730608600657433
50,hw_conduit,30-474069,,1,,30-474070,,Cond,,5947,,,,sanitary,,,,"{2296378.8940240256488323,145006.9225947400263976,2296449.9641943057067692,144994.9105181799968705}",,,2296378.8940240256488323,145006.9225947400263976
51,hw_conduit,30-474070,,1,,30-474071,,Cond,,5950,,,,sanitary,,,,"{2296449.9641943057067692,144994.9105181799968705,2296506.2348767863586545,144980.2957848999358248}",,,2296449.9641943057067692,144994.9105181799968705
